x,y,vx,vx,Paddle.y
1163,298,-2,-2,242
1161,296,-2,-2,242
1159,294,-2,-2,242
1157,292,-2,-2,242
1155,290,-2,-2,242
1153,288,-2,-2,242
1151,286,-2,-2,242
1149,284,-2,-2,242
1147,282,-2,-2,242
1145,280,-2,-2,242
1143,278,-2,-2,242
1141,276,-2,-2,242
1139,274,-2,-2,242
1137,272,-2,-2,245
1135,270,-2,-2,245
1133,268,-2,-2,245
1131,266,-2,-2,250
1129,264,-2,-2,250
1127,262,-2,-2,250
1125,260,-2,-2,254
1123,258,-2,-2,254
1121,256,-2,-2,258
1119,254,-2,-2,258
1117,252,-2,-2,258
1115,250,-2,-2,260
1113,248,-2,-2,260
1111,246,-2,-2,262
1109,244,-2,-2,262
1107,242,-2,-2,262
1105,240,-2,-2,264
1103,238,-2,-2,264
1101,236,-2,-2,264
1099,234,-2,-2,267
1097,232,-2,-2,267
1095,230,-2,-2,269
1093,228,-2,-2,269
1091,226,-2,-2,269
1089,224,-2,-2,270
1087,222,-2,-2,270
1085,220,-2,-2,270
1083,218,-2,-2,272
1081,216,-2,-2,272
1079,214,-2,-2,272
1077,212,-2,-2,272
1075,210,-2,-2,272
1073,208,-2,-2,273
1071,206,-2,-2,273
1069,204,-2,-2,273
1067,202,-2,-2,273
1065,200,-2,-2,273
1063,198,-2,-2,273
1061,196,-2,-2,273
1059,194,-2,-2,273
1057,192,-2,-2,273
1055,190,-2,-2,275
1053,188,-2,-2,275
1051,186,-2,-2,275
1049,184,-2,-2,275
1047,182,-2,-2,275
1045,180,-2,-2,275
1043,178,-2,-2,275
1041,176,-2,-2,275
1039,174,-2,-2,275
1037,172,-2,-2,275
1035,170,-2,-2,275
1033,168,-2,-2,275
1031,166,-2,-2,275
1029,164,-2,-2,275
1027,162,-2,-2,275
1025,160,-2,-2,275
1023,158,-2,-2,275
1021,156,-2,-2,275
1019,154,-2,-2,275
1017,152,-2,-2,275
1015,150,-2,-2,275
1013,148,-2,-2,275
1011,146,-2,-2,275
1009,144,-2,-2,275
1007,142,-2,-2,275
1005,140,-2,-2,275
1003,138,-2,-2,275
1001,136,-2,-2,275
999,134,-2,-2,275
997,132,-2,-2,275
995,130,-2,-2,275
993,128,-2,-2,275
991,126,-2,-2,275
989,124,-2,-2,275
987,122,-2,-2,275
985,120,-2,-2,275
983,118,-2,-2,275
981,116,-2,-2,275
979,114,-2,-2,275
977,112,-2,-2,275
975,110,-2,-2,275
973,108,-2,-2,275
971,106,-2,-2,275
969,104,-2,-2,275
967,102,-2,-2,275
965,100,-2,-2,275
963,98,-2,-2,275
961,96,-2,-2,275
